,lib_code,lib_name,addr,lib_latitude,lib_longitude,address1,address2,lib_sign,api_lib_sign,tel,fax,homepage,operatingTime,closedOn,lib_type,lib_type_nm,establish,open_year,zipcode,lib_utmk_x,lib_utmk_y,first_loan_year,part_year,master_lib_code,lib_alias,code,locate_code,addr_old,lib_name_nl,lib_name_origin,main_lib,areacode1,areacode2,wd_area_code,행정동
60,100,성북정보도서관,서울특별시 성북구 화랑로18자길 13,37.604848600000004,127.050425,서울특별시,성북구,111044.0,111044.0,02-962-1081,02-962-5335,https://www.sblib.seoul.kr/,09:00~22:00,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일이 공휴일일 경우 휴관), 도서관 사정에 의한 임시휴관일",1,공공,지자체,2002,02791,960317.557473464,1956253.61258943,2002.0,2015.0,100,정보,BR,1,서울특별시 성북구 상월곡동 24-348,성북정보도서관,성북정보도서관,Y,서울특별시,성북구,서울,월곡2동
61,101,해오름도서관,"서울특별시 성북구 성북로4길 52, 주차장 위 지상 2층",37.5941774,127.010608,서울특별시,성북구,111123.0,111123.0,02-6925-7002,02-6442-1081,https://www.sblib.seoul.kr/,"09~18시(평일, 주말 동일)",매주 월요일 / 주말을 제외한 법정공휴일 등,1,공공,지자체,2009,02831,956796.856208284,1955087.26371786,2009.0,2015.0,100,해오름,BT,1,서울특별시 성북구 돈암동 609-1,해오름어린이도서관,해오름어린이도서관,N,서울특별시,성북구,서울,돈암2동
62,102,아리랑도서관,서울특별시 성북구 아리랑로 82,37.599898700000004,127.013975,서울특별시,성북구,111048.0,111048.0,02-3291-4990,02-3291-4993,https://www.sblib.seoul.kr/arlib,"평일(월~금) 09:00~22:00, 주말(토~일) 09:00~18:00","매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일, 관장이 필요하다고 인정하는 날",1,공공,지자체,2004,02827,957097.379335884,1955720.47263245,2004.0,2015.0,100,아리랑,MA,1,서울특별시 성북구 돈암동 538-98,아리랑정보도서관,아리랑정보도서관,N,서울특별시,성북구,서울,돈암2동
64,104,석관동미리내도서관,서울특별시 성북구 한천로66길 203,37.613521999999996,127.06546000000002,서울특별시,성북구,111301.0,111301.0,02-960-5067,02-6442-6925,https://www.sblib.seoul.kr/,09:00~18:00(수요일:09:00~21:00),"매주 월요일 / 일요일을 제외한 법정공휴일(단 일요일이 공휴일인 경우 휴관), 기타 도서관장이 필요하다고 인정하는 경우",1,공공,지자체,2015,02781,961649.105883986,1957209.63938009,2015.0,2015.0,100,석관,MF,1,서울특별시 성북구 석관동 134-2,석관동 미리내도서관,석관미리내도서관,N,서울특별시,성북구,서울,석관동
65,105,정릉도서관,서울특별시 성북구 정릉로 242,37.60472070000001,127.010585,서울특별시,성북구,111380.0,111380.0,02-2038-9928,070-4324-5396,https://www.sblib.seoul.kr/,"평일 및 주말 09:00~18:00, 수요일 09:00~21:00",매주 월요일 / 법정공휴일,1,공공,지자체,2015,02814,956800.922258795,1956257.00662184,2015.0,2015.0,100,정릉,MG,1,서울특별시 성북구 정릉동 966-1,정릉도서관,정릉도서관,N,서울특별시,성북구,서울,정릉2동
66,106,달빛마루도서관,서울특별시 성북구 종암로 167,37.604481,127.03131599999999,서울특별시,성북구,111302.0,111302.0,02-911-0993,02-911-0994,https://www.sblib.seoul.kr/,"09:00~18:00, 매주 수요일 09:00~21:00","매주 월요일 / 법정공휴일, 도서관 업무상 필요하여 관장이 지정한 날",1,공공,지자체,2012,02734,958630.658532508,1956221.0768234,2012.0,2015.0,100,달빛,MI,1,서울특별시 성북구 하월곡동 88-387,달빛마루도서관,달빛마루도서관,N,서울특별시,성북구,서울,길음2동
67,107,청수도서관,서울특별시 성북구 보국문로16가길 20,37.61172929999999,127.010749,서울특별시,성북구,111437.0,111437.0,02-2038-4423,070-4324-5396,https://www.sblib.seoul.kr/,09:00~18:00,"매주 월요일 / 일요일을 제외한 법정공휴일, 도서관 사정에 의해 관장이 따로 정한 날",1,공공,지자체,2014,02717,956819.450156988,1957034.50537731,2014.0,2015.0,100,청수,MJ,1,서울특별시 성북구 정릉4동 266-121,청수도서관,청수도서관,N,서울특별시,성북구,서울,정릉4동
68,108,종암동새날도서관,서울특별시 성북구 종암로 98-8,37.5990302,127.035098,서울특별시,성북구,111188.0,111188.0,02-6925-6920,02-6442-6925,https://www.sblib.seoul.kr/,09:00~18:00,"매주 월요일 / 일요일을 제외한 법정공휴일, 관장이 필요하다고 인정하는 날",1,공공,지자체,2011,02797,958961.492194179,1955614.67545601,2011.0,2015.0,100,종암,TR,1,서울특별시 성북구 종암동 16-8,종암동새날어린이도서관,종암동새날어린이도서관,N,서울특별시,성북구,서울,종암동
87,1200,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60,37.59006420000001,127.047331,서울특별시,동대문구,111065.0,111065.0,02-960-1959,02-3299-2745,https://www.l4d.or.kr/info/index.do,화요일~일요일 09:00~18:00 (*현재 사회적 거리두기에 따른 부분운영중),"매주 월요일 / 법정공휴일, 도서관 사정에 의한 임시 휴관일",1,공공,지자체,2006,02456,960036.552677516,1954614.66397549,2006.0,2014.0,1200,정보화,MA,1,서울특별시 동대문구 청량리동 206-19,동대문구정보화도서관,동대문구정보화도서관,Y,서울특별시,동대문구,서울,청량리동
92,1205,동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,37.573203,127.050405,서울특별시,동대문구,111445.0,111445.0,02-982-1959,02-2216-9413,https://www.l4d.or.kr/dsn/index.do,오전 9시 ~ 오후 10시,"매주 금요일 / 법정공휴일, 도서관 사정에 의한 임시 휴관일",1,공공,지자체,2014,02596,960298.986502053,1952742.69356582,2014.0,2014.0,1200,답십리,MF,1,서울특별시 동대문구 답십리1동 474-5,동대문구 답십리 도서관,답십리도서관,N,서울특별시,동대문구,서울,답십리1동
96,1209,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,37.5886815,127.060597,서울특별시,동대문구,111446.0,111446.0,02-2248-1959,02-2248-1969,https://www.l4d.or.kr/hgc/index.do,09:00~18:00,"매주 월요일 / 법정공휴일, 도서관 필요에 의해 관장이 정하는 날",1,공공,지자체,2014,02497,961207.017100368,1954455.69828389,2014.0,2014.0,1200,휘경어린이,MJ,1,서울특별시 동대문구 휘경동 282-4,휘경 어린이도서관,휘경어린이도서관,N,서울특별시,동대문구,서울,휘경2동
122,30100,대림도서관,서울특별시 영등포구 도신로 27,37.5082195,126.90405940000001,서울특별시,영등포구,111083.0,111083.0,02-828-3700,02-828-3701,https://www.ydplib.or.kr/drlib,"평일 09:00~21:00, 주말 09:00~17:00",매주 월요일 / 법정공휴일,1,공공,지자체,,07376,947330.29273129,1945605.0014308,,2021.0,30100,대림,CA,1,,,,Y,서울특별시,영등포구,영등포,도림동
128,4600,서울도서관,서울특별시 중구 세종대로 110,37.5663245,126.977752,서울특별시,중구,111314.0,111314.0,02-2133-0300,02-2133-0390,http://lib.seoul.go.kr/,"화~금( 9:00~19:00 ) / 토,일( 9:00~17:00 )",매주 월요일 / 공휴일,1,공공,지자체,2012,04524,953879.155607272,1952012.73609244,2012.0,2014.0,4600,서울,111314,1,서울특별시 중구 태평로1가 31,서울도서관,서울도서관,Y,서울특별시,중구,서울,명동
129,4400,서초구립반포도서관,서울특별시 서초구 고무래로 34,37.502493,127.012451,서울특별시,서초구,111377.0,111377.0,02-520-8700,02-520-8720,http://www.seocholib.or.kr/,(평일) 09:00-22:00(어린이자료실은 09:00-18:00) (주말) 09:00-18:00,"매주 월요일 / 법정공휴일, 도서관장이 필요하다고 인정한 경우",1,공공,지자체,2013,06599,956906.804675091,1944914.52876494,2013.0,2015.0,4400,반포,AA,1,서울특별시 서초구 반포동 32-13,서초구립반포도서관,서초구립반포도서관,Y,서울특별시,서초구,서울,반포1동
131,4404,서이도서관,서울특별시 서초구 서초대로70길 51,37.4920737,127.02493799999999,서울특별시,서초구,111466.0,111466.0,02-3471-1337,02-3471-1336,http://spublic.seocholib.or.kr/,(평일) 09:00~21:00 (주말) 09:00~18:00,"매주 월요일 / 법정공휴일, 임시공휴일",1,공공,지자체,2017,06624,958004.670577941,1943752.92965711,2017.0,2016.0,4400,서이,BB,1,서울특별시 서초구 서초동 1332-6,서초2동작은도서관,서초2동 작은도서관,N,서울특별시,서초구,서울,서초2동
134,4407,잠원도서관,서울특별시 서초구 나루터로 38,37.5149648,127.01396799999999,서울특별시,서초구,111140.0,111140.0,02-3477-8655,02-3477-8656,http://spublic.seocholib.or.kr/,(평일) 09:00-21:00 (주말) 09:00-18:00,"매주 월요일 / 법정공휴일, 임시공휴일",1,공공,지자체,2017,06523,957048.036136229,1946297.50470596,2017.0,2016.0,4400,잠원,BE,1,서울특별시 서초구 잠원동 58-27,잠원동 작은도서관,잠원동 작은도서관,N,서울특별시,서초구,서울,잠원동
143,4416,방배도서관,서울특별시 서초구 방배로 40,37.480320899999995,126.99903700000002,서울특별시,서초구,111236.0,111236.0,02-3471-3993,02-3471-3995,http://spublic.seocholib.or.kr/,"화-금(09:00-21:00)/토,일(09:00-18:00)","매주 월요일 / 법정공휴일, 임시공휴일",1,공공,지자체,2017,06705,955708.07733405,1942460.90316556,2017.0,2016.0,4400,방배,BN,1,서울특별시 서초구 방배동 983-14,방배3동 책사랑방,방배3동 작은도서관,N,서울특별시,서초구,서울,방배3동
147,4701,강동도서관,서울특별시 강동구 양재대로116길 57,37.5385252,127.14375600000001,서울특별시,강동구,111004.0,111004.0,02-2225-9800,02-471-8520,http://gdlib.sen.go.kr/,07:00-23:00,"매월 첫째주, 셋째주 목요일 / 일요일을 제외한 법정공휴일, 기타 관장이 필요하다고 인정하는 날",1,공공,교육청,1984,05344,968527.69853441,1948860.04235924,1984.0,2015.0,4700,강동,MB,1,서울특별시 강동구 길동 362,강동도서관,강동도서관,N,서울특별시,강동구,서울,길동
148,4702,강서도서관,서울특별시 강서구 등촌로51나길 29,37.5478818,126.859926,서울특별시,강서구,111005.0,111005.0,02-3219-7000,02-3219-7091,http://gslib.sen.go.kr/,07:00~23:00(하절기) 08:00~23:00(동절기) 07:00~22:00(하절기 주말) 08:00~22:00(동절기 주말),"매월 첫째주, 셋째주 금요일 / 일요일을 제외한 법정공휴일, 휴관이 필요하다고 관장이 지정하는 날",1,공공,교육청,1983,07669,943459.652354343,1950030.95242136,1983.0,2015.0,4700,강서,MC,1,서울특별시 강서구 등촌동 520-6,강서도서관,강서도서관,N,서울특별시,강서구,서울,등촌2동
149,4703,개포도서관,서울특별시 강남구 선릉로4길 30,37.482960399999996,127.063769,서울특별시,강남구,111006.0,111006.0,02-3460-8200,02-3462-1970,http://gplib.sen.go.kr/,"하(동)절기: 07(08)～23시, 자료실 평일(문헌정보실:9시～20시, 어린이실/디지털실:9시～18시) / 주말(9시～17시)","매월 둘째주, 넷째주 목요일 / 일요일을 제외한 법정공휴일, 기타 도서관 필요에 의해 정하는 날",1,공공,교육청,1984,06327,961432.651812293,1942725.25498188,1984.0,2015.0,4700,개포,MD,1,서울특별시 강남구 개포2동 139,개포도서관,개포도서관,N,서울특별시,강남구,서울,개포2동
150,4704,고덕평생학습관,서울특별시 강동구 고덕로 295,37.556146399999996,127.15798400000001,서울특별시,강동구,111007.0,111007.0,02-6902-2600,02-6902-2680,http://gdllc.sen.go.kr/,"07:00~23:00(3월~10월),08:00~23:00(11월~2월)","매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일, 평생학습관 사정으로 인한 임시휴관일",1,공공,교육청,1984,05225,969791.78402888,1950810.34275624,1984.0,2015.0,4700,고덕,ME,1,서울특별시 강동구 고덕동 296,고덕평생학습관,고덕평생학습관,N,서울특별시,강동구,서울,고덕2동
151,4705,고척도서관,서울특별시 구로구 고척로45길 31,37.5053516,126.853254,서울특별시,구로구,111008.0,111008.0,02-2615-0524,02-2682-4176,http://gclib.sen.go.kr/,"평일 : 09:00~20:00, 주말 : 09:00~17:00 (장시간 개관 자료실 기준)","매월 둘째주, 넷째주 수요일 / 일요일을 제외한 법정공휴일, 기타 도서관장이 정하는 임시휴관일",1,공공,교육청,1990,08239,942837.836132462,1945316.4736195,1990.0,2015.0,4700,고척,MF,1,서울특별시 구로구 고척2동 산9-14,고척도서관,고척도서관,N,서울특별시,구로구,서울,고척2동
152,4706,구로도서관,서울특별시 구로구 공원로 15,37.4985419,126.891674,서울특별시,구로구,111009.0,111009.0,02-6958-2800,02-6958-2888,http://grlib.sen.go.kr/,07(08):00-23(23):00,"매월 첫째주, 셋째주 수요일 / 일요일을 제외한 법정공휴일, 휴관이 필요하다고 인정하는 날",1,공공,교육청,1984,08298,946228.71014751,1944538.33124036,1984.0,2015.0,4700,구로,MG,1,서울특별시 구로구 구로5동 106-1,구로도서관,구로도서관,N,서울특별시,구로구,서울,구로5동
153,4707,남산도서관,서울특별시 용산구 소월로 109,37.5530786,126.981334,서울특별시,용산구,111010.0,111010.0,02-754-7338,02-754-6545,http://nslib.sen.go.kr/,"인문사회과학실 평일 09:00 ~ 20:00 토,일 09:00 ~ 17:00, 문학실/자연과학실 평일 09:00 ~ 20:00 토,일 09:00 ~ 17:00(단, 11월-2월에는 평일 09:00 ~ 19:00), 전자정보실/독서치료어학실/연속간행물실 평일 09:00 ~ 18:00 토,일 09:00 ~ 17:00, 일반열람실 평일 07:00 ~ 23:00 토,일 07:00 ~ 22:00(단, 11월-2월에는 평일 08:00 ~ 23:00 토,일 08:00 ~ 22:00)","매월 첫째주, 셋째주 월요일 / 법정공휴일, 도서관 사정으로 휴관하는 일",1,공공,교육청,1922,04340,954187.382326581,1950541.41847163,1922.0,2015.0,4700,남산,MH,1,서울특별시 용산구 후암동 30-84,남산도서관,남산도서관,N,서울특별시,용산구,서울,후암동
154,4708,도봉도서관,서울특별시 도봉구 삼양로 556,37.652815000000004,127.01296299999998,서울특별시,도봉구,111011.0,111011.0,02-6714-7400,02-991-3974,http://dblib.sen.go.kr/,"종합자료실: 평일 09~20시, 주말 09~17시 어린이실, 디지털자료실: 평일 09~18시, 주말 09~17시","매월 둘째주, 넷째주 수요일 / 법정공휴일, 도서관 사정으로 휴관일을 공고한 경우",1,공공,교육청,1981,01368,957038.51503451,1961591.79012884,1981.0,2015.0,4700,도봉,MJ,1,서울특별시 도봉구 쌍문동 422-163,도봉도서관,도봉도서관,N,서울특별시,도봉구,서울,쌍문1동
155,4709,동대문도서관,서울특별시 동대문구 천호대로4길 22,37.573553499999996,127.02477900000001,서울특별시,동대문구,111012.0,111012.0,02-2170-1000,02-2233-3045,http://ddmlib.sen.go.kr/,07:00~23:00,"매월 둘째주, 넷째주 수요일 / 일요일을 제외한 법정공휴일, 휴관이 필요하다고 인정하는 날",1,공공,교육청,1971,02586,958036.293129305,1952792.71619635,1971.0,2015.0,4700,동대문,MK,1,서울특별시 동대문구 신설동 109-4,동대문도서관,동대문도서관,N,서울특별시,동대문구,서울,용신동
156,4710,동작도서관,서울특별시 동작구 장승배기로 94,37.5059908,126.94016599999999,서울특별시,동작구,111013.0,111013.0,02-823-6419,02-812-6511,http://djlib.sen.go.kr/,07:00~23:00(동절기 08:00~23:00),"매월 둘째주, 넷째주 금요일 / 일요일을 제외한 법정공휴일, 관장이 필요하다고 인정할 때",1,공공,교육청,1991,06925,950519.97928432,1945338.14227552,1991.0,2015.0,4700,동작,ML,1,서울특별시 동작구 노량진2동 310-150,동작도서관,동작도서관,N,서울특별시,동작구,서울,노량진2동
157,4711,마포평생학습관,서울특별시 마포구 홍익로2길 16,37.5543324,126.924196,서울특별시,마포구,111014.0,111014.0,02-2137-0000,02-323-1057,http://mpllc.sen.go.kr/,"[자료실] 평일 09:00-18:00(문헌정보실은 20시), 주말 09:00-17:00 [자율학습실] 평일 07:00-23:00(동절기 08:00-23:00), 주말 07:00-22:00(동절기 08:00-22:00)","매월 둘째주, 넷째주 월요일 / 법정공휴일, 휴관이 필요하다고 인정하는 날",1,공공,교육청,1995,04054,949141.319636188,1950709.90210589,1995.0,2015.0,4700,마포,MM,1,서울특별시 마포구 서교동 341-1,마포평생학습관,마포평생학습관,N,서울특별시,마포구,서울,서교동
158,4712,양천도서관,서울특별시 양천구 목동서로 113,37.533654399999996,126.875957,서울특별시,양천구,111015.0,111015.0,02-2062-3900,02-2062-3949,http://yclib.sen.go.kr/,"하절기 07:00~23:00, 동절기 08:00~23:00","매월 첫째주, 셋째주 목요일 / 일요일을 제외한 법정공휴일, 도서관 사정으로 임시로 정하는 휴일",1,공공,교육청,1990,07988,944865.274792774,1948442.97117634,1990.0,2015.0,4700,양천,MN,1,서울특별시 양천구 목5동 905,양천도서관,양천도서관,N,서울특별시,양천구,서울,목5동
159,4713,서대문도서관,서울특별시 서대문구 모래내로 412,37.5834154,126.940849,서울특별시,서대문구,111016.0,111016.0,1833-6948,02-6948-2119,http://sdmlib.sen.go.kr/,"자율학습실 07:00～23:00(주말 07:00～22:00)/종합자료실 09:00～20:00, 어린이자료실 09:00～18:00, 디지털자료실 09:00～18:00(주말 09:00～17:00)","매월 첫째주, 셋째주 화요일 / 일요일을 제외한 법정공휴일 / 도서관 사정으로 임시로 정하는 휴일",1,공공,교육청,1986,03717,950631.430803778,1953927.64456384,1986.0,2015.0,4700,서대문,MP,1,서울특별시 서대문구 연희동 1-116,서대문도서관,서대문도서관,N,서울특별시,서대문구,서울,연희동
160,4714,서울시립어린이도서관,서울특별시 종로구 사직로 9길 7,37.5763001,126.96823700000002,서울특별시,종로구,111017.0,111017.0,02-731-2300,02-736-8914,http://childlib.sen.go.kr/,"평일 09:00~18:00, 주말 09:00~17:00","매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일, 도서관 사정으로 임시로 정하는 휴일",1,공공,교육청,1979,03027,953045.122634661,1953124.19362309,1979.0,2015.0,4700,어린이,MQ,1,서울특별시 종로구 사직동 1-28,서울시립어린이도서관,서울시립어린이도서관,N,서울특별시,종로구,서울,사직동
161,4715,영등포평생학습관,서울특별시 영등포구 버드나루로15길 10,37.526074,126.907352,서울특별시,영등포구,111018.0,111018.0,02-6712-7500,02-2636-1680,http://ydpllc.sen.go.kr/,"자료실 : 평일 9~18시(문헌정보실은 20시), 주말 9~17시 / 학습실 : 11월~2월은 8시~23시(평일), 8시~22시(주말) 3월~10월은 7시~23시(평일), 7시~22시(주말)","매월 둘째주, 넷째주 월요일 / 법정공휴일, 휴관이 필요하다고 인정하는 날",1,공공,교육청,1974,07229,947633.776498982,1947584.02243581,1974.0,2015.0,4700,영등포,MR,1,서울특별시 영등포구 당산동 121-22,영등포평생학습관,영등포평생학습관,N,서울특별시,영등포구,서울,당산2동
162,4716,용산도서관,서울특별시 용산구 두텁바위로 160,37.551987700000005,126.98012299999999,서울특별시,용산구,111019.0,111019.0,02-6902-7777,02-779-2563,http://yslib.sen.go.kr/,"문헌정보실 : 평일 09:00~20:00, 토·일 09:00~17:00 / 디지털간행물실, 어린이실 : 평일 09:00~18:00, 토·일 09:00~17:00 / 자율학습실 : 평일 07:00~23:00, 주말 07:00~22:00","매월 둘째주, 넷째주 화요일 / 법정공휴일, 기타 사정으로 도서관장이 정한 날",1,공공,교육청,1981,04328,954079.747279386,1950420.97965041,1981.0,2015.0,4700,용산,MS,1,서울특별시 용산구 후암동 30-90,용산도서관,용산도서관,N,서울특별시,용산구,서울,후암동
163,4717,정독도서관,서울특별시 종로구 북촌로5길 48,37.5810398,126.982952,서울특별시,종로구,111020.0,111020.0,02-2011-5799,02-737-6943,http://jdlib.sen.go.kr/,평일 7-23시,"매월 첫째주, 셋째주 수요일 / 일요일을 제외한 법정공휴일, 도서관 사정으로 임시로 정하는 휴일",1,공공,교육청,1977,03055,954347.366083456,1953642.78861398,1977.0,2015.0,4700,정독,MT,1,서울특별시 종로구 화동 2,정독도서관,정독도서관,Y,서울특별시,종로구,서울,삼청동
164,4718,종로도서관,서울특별시 종로구 사직로9길 15-14,37.5764744,126.966457,서울특별시,종로구,111021.0,111021.0,02-721-0707,02-737-1707,http://jnlib.sen.go.kr/,"어문학실, 인문사회과학실 09시~20시(평일), 09시~17시(주말) / 자연과학정보실 09시~20시(평일), 09시~17시(주말) / 인왕관 09시~18시(평일), 09시~17시(토)/ 자율학습실 07시~23시(3~10월 평일), 08시~23시(11~2월 평일), 주말은 22시까지 운영","매월 둘째주, 넷째주 월요일 / 법정공휴일, 도서관 운영상 도서관장이 필요하다고 지정한 날",1,공공,교육청,1920,03027,952888.056592292,1953144.42248022,1920.0,2015.0,4700,종로,MU,1,서울특별시 종로구 사직동 1-28,종로도서관,종로도서관,N,서울특별시,종로구,서울,사직동
165,4719,노원평생학습관,서울특별시 노원구 동일로204길 13,37.639395799999996,127.067748,서울특별시,노원구,111022.0,111022.0,02-979-1741,02-977-9182,http://nwllc.sen.go.kr/,"[평일] 문헌정보실09:00~20:00, 어린이실,디지털실 09:00~18:00 [주말] 09:00~17:00","매월 둘째주, 넷째주 월요일 / 법정공휴일(토, 일요일과 겹칠 경우 휴관), 휴관이 필요하다고 인정하는 날",1,공공,교육청,1990,01783,961864.258998449,1960079.29749574,1990.0,2015.0,4700,노원,MV,1,서울특별시 노원구 중계동 508,노원평생학습관,노원평생학습관,N,서울특별시,노원구,서울,중계2·3동
